ID,Tiêu đề,Trạng thái,Lượt xem,Lượt gửi,Lượt click,Ngày tạo
1dbc3d5e1a1bf345aa0a,TẬN HƯỞNG CUỐI TUẦN CÙNG BA GÁC,Thành công,5770,6034,158,02/10/2021 09:42 AM
8effa2e784a26dfc34b3,BREAKFAST ALL DAY ĐÃ CÓ THÊM BÚN THỊT NƯỚNG TRÒN VỊ ĐẬM ĐÀ,Thành công,5810,6072,135,28/09/2021 01:18 PM
5ec74ac46c8185dfdc90,BUỔI SÁNG HOÀN HẢO VỚI BỘ ĐÔI PHỞ x COFFEE,Thành công,5848,6106,185,26/09/2021 04:09 PM
8fd549e66fa386fddfb2,KHỞI ĐỘNG NGÀY MỚI VỚI NHỮNG TÔ PHỞ THƠM NGON TỪ BA GÁC,Thành công,5901,6157,198,23/09/2021 08:26 AM
db8279be5ffbb6a5efea,BA GÁC CẬP NHẬT MÓN MỚI - ĐẶT HÀNG NGAY!,Thành công,5907,6176,234,22/09/2021 12:45 PM
26bdbd859bc0729e2bd1,"MỪNG TRUNG THU, MỪNG TẾT ĐOÀN VIÊN",Thành công,5927,6197,105,21/09/2021 03:54 PM
ae140e472802c15c9813,BA GÁC GIAO HÀNG TRÊN TẤT CẢ CÁC KHU VỰC Ở HỒ CHÍ MINH,Thành công,5964,6229,384,16/09/2021 02:47 PM
400b9945bf00565e0f11,"THÈM ĂN NGON? CÓ NGAY BA GÁC, GIAO HÀNG TỪ 9H - 18H HÀNG NGÀY 🥳",Thành công,5999,6257,362,12/09/2021 11:51 AM
baa8df35f970102e4961,CHÚC MỪNG NGÀY QUỐC KHÁNH VIỆT NAM,Thành công,6034,6294,108,02/09/2021 11:26 AM
ba422cde099be0c5b98a,"COMBO MÓN NGON - ƯU ĐÃI CỰC KHỦNG, DUY NHẤT 08/07",Thành công,6133,6295,218,08/07/2021 05:04 PM
a4fdc432e17708295166,"COMBO SIÊU ƯU ĐÃI, VUI Ở NHÀ KHÔNG THỂ TUYỆT VỜI HƠN",Thành công,6201,6388,360,21/06/2021 03:14 PM
845b29910cd4e58abcc5,GIAO HÀNG TẬN NHÀ - GIẢM NGAY 20%,Thành công,6097,6504,432,19/06/2021 08:33 PM
6dcf964db2085b560219,TIỆC TẠI GIA - TRÁNH XA COVID,Thành công,5981,6187,454,06/05/2021 06:59 PM
ea7a87bcacf945a71ce8,"ĐẾN BA GÁC, VUI XUÂN TÂY BẮC, NGẬP TRÀN ĐIỀU HAY",Thành công,501,531,23,27/01/2021 05:38 PM
8100b80792427b1c2253,ĐẾN BA GÁC QUANG TRUNG SAY CÙNG MUSIC NIGT,Thành công,2,2,0,06/01/2021 03:01 PM
6716b1109b55720b2b44,ĐẾN BA GÁC QUANG TRUNG SAY CÙNG MUSIC NIGT,Thành công,39,39,2,06/01/2021 09:51 AM
ef81378c1dc9f497add8,THỬ NGAY MÓN MỚI CHÀO NĂM 2021 TẠI BA GAC,Thành công,3410,3508,208,04/01/2021 03:54 PM
483a9509bf4c56120f5d,THỎA SỨC NGẮM PHÁO HOA TRONG ĐÊM COUNTDOWN 31/12 VỚI ROOFTOP BA GÁC,Thành công,3,3,0,30/12/2020 09:53 AM
a8e435d61f93f6cdaf82,NGẮM PHÁO HOA CỰC CHẤT COUNTDOWN 31/12: LÊN NGAY ROOFTOP BA GÁC,Thành công,37,37,3,29/12/2020 06:31 PM
4f9e7ebd54f8bda6e4e9,FAN CỦA KING OF RAP THÌ VỀ NGAY BA GÁC NGÀY MAI,Thành công,309,335,16,24/12/2020 04:10 PM
6e05472a6d6f8431dd7e,SINH NHẬT 5 NĂM - FREE BIA 5 NGÀY LIÊN TIẾP,Thành công,2137,2206,316,23/12/2020 05:47 PM
b034777e5d3bb465ed2a,"BA GÁC QUANG TRUNG SĂP HẠ CÁNH, GÒ VẤP ƠI!",Thành công,1226,1267,94,11/12/2020 10:39 AM
626eb072993770692926,[MINI GAME] CHECK IN GALAXY - SĂN HỘP QUÀ MESSI LIMITED,Thành công,161,165,6,22/10/2020 05:09 PM
77d76ed54790aecef781,20/10 - BA GÁC KHAO BIA TOÀN BÀN,Thành công,2994,3115,140,19/10/2020 03:05 PM
9681fbd2d2973bc96286,HAPPY HOUR - Ư U ĐÃI BIA HOEGAARDEN LỚN NHẤT NĂM!!,Thành công,3087,3216,226,06/10/2020 05:54 PM
b099862baf6e46301f7f,HÔM NAY: VUI SINH NHẬT – QUẨY ACOUSTIC SHOW TẠI LÊ VĂN SỸ,Thành công,2912,3175,159,09/09/2020 11:17 AM
f93c119138d4d18a88c5,THÁNG 9 ĐẾN BA GÁC UỐNG BIA KHÔNG GIỚI HẠN,Thành công,1556,3161,320,04/09/2020 01:49 PM
5f6a345c1c19f547ac08,KHUYNH ĐẢO BÀN NHẬU VỚI FOOD OF THE MONTH THÁNG 8,Thành công,2960,3083,246,06/08/2020 03:37 PM
8cfdcb62e3270a795336,ĐỪNG BAO GIỜ BỎ LỠ BỮA TIỆC SINH NHẬT ĐẶC BIỆT NHẤT NĂM CỦA BA GÁC LÊ QUÝ ĐÔN,Thành công,2841,2905,166,06/07/2020 12:16 PM
7dd257577f12964ccf03,CỰC PHẨM THÁNG 7 – TAN CHẢY VỚI TÔM,Thành công,2822,2900,165,03/07/2020 05:18 PM
9f8318223067d9398076,BA GÁC ƯU ĐÃI: FREE BEER CHỦ NHẬT,Thành công,690,731,84,23/06/2020 01:21 PM
db050df725b2ccec95a3,"SINH NHẬT CHẤT, TẶNG RƯỢU NGON",Thành công,2552,2622,144,09/06/2020 04:10 PM
7380a5668d23647d3d32,BA GÁC BÁN KHUYA - TĂNG THÊM 2 CHILL CHO QUÝ ZỊ,Thành công,2528,2601,109,05/06/2020 06:04 PM
d6d913323b77d2298b66,BA GÁC CÓ MENU MỚI - ĐẶT BÀN THỬ NGAY THÔI!!,Thành công,2947,3041,263,03/06/2020 11:54 AM
a52d7e3f517ab824e16b,"BUFFET BIA - UỐNG THẢ GA, CHỈ 99K",Thành công,2509,2582,230,01/06/2020 09:12 AM
c9105c0e734b9a15c35a,TẾT THIẾU NHI - NHẬN ĐÙI GÀ FREE🍗🍗,Thành công,2503,2576,61,30/05/2020 11:07 AM
c5f38ad1a5944cca1585,BA GÁC MỞ BÁN RƯỢU NGON,Thành công,2424,2500,124,18/05/2020 06:07 PM
